GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
challenge_e-commerce,g.sants.challenge_e_commerce.domain,Cart,226,73,20,0,65,27,26,14,16,14
challenge_e-commerce,g.sants.challenge_e_commerce.domain,User,23,149,1,1,9,43,5,19,4,19
challenge_e-commerce,g.sants.challenge_e_commerce.domain,Storage,0,43,0,0,0,18,0,10,0,10
challenge_e-commerce,g.sants.challenge_e_commerce.domain,Item,0,50,0,0,0,21,0,12,0,12
challenge_e-commerce,g.sants.challenge_e_commerce.adapter.messages.config,MessageConfig,0,19,0,0,0,4,0,5,0,5
challenge_e-commerce,g.sants.challenge_e_commerce.adapter.messages.methods,MessageCategory,7,0,0,0,2,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions,ErrorsResponse,43,0,0,0,18,0,9,0,9,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions,GlobalExceptionHandler,144,3,0,0,27,1,9,1,9,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.port.filters,SecurityFilter,49,9,8,0,15,4,6,1,2,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.service.methods,CartOperations,51,115,15,17,7,22,16,6,1,5
challenge_e-commerce,g.sants.challenge_e_commerce.application.service.methods,UserCategory,3,25,0,0,1,6,1,2,1,2
challenge_e-commerce,g.sants.challenge_e_commerce.adapter.security.config,SecurityConfig,0,124,0,0,0,21,0,6,0,6
challenge_e-commerce,g.sants.challenge_e_commerce.adapter.security.methods,SecurityCategory,7,0,0,0,2,0,1,0,1,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,LoginFailedException,3,0,0,0,1,0,1,0,1,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,RegistrationAlreadyDoneException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,UserNotFoundException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,OrderCancelledException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,LoginException,8,0,0,0,3,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,OrderNotFoundException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,WrongItemEntryException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,ItemNotFoundException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.exceptions.errors,NoInfoReceivedException,8,0,0,0,4,0,2,0,2,0
challenge_e-commerce,g.sants.challenge_e_commerce.application.port.input,CartController,110,334,30,28,24,73,30,8,0,7
challenge_e-commerce,g.sants.challenge_e_commerce.application.port.input,AuthorizationController,0,43,0,0,0,11,0,3,0,3
challenge_e-commerce,g.sants.challenge_e_commerce.application.port.input,StorageController,6,46,2,2,2,14,2,6,0,6
challenge_e-commerce,g.sants.challenge_e_commerce.application.port.input,UserController,8,38,2,2,2,12,2,5,0,5
challenge_e-commerce,g.sants.challenge_e_commerce,ChallengeECommerceApplication,5,3,0,0,2,1,1,1,1,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,UserDTORequest,0,33,0,0,0,1,0,6,0,6
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,AuthorizationDTORequest,0,15,0,0,0,1,0,3,0,3
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,CartDTOResponse,0,75,0,0,0,6,0,9,0,9
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,RegisterDTORequest,0,39,0,0,0,1,0,7,0,7
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,UserDTOResponse,27,33,0,0,3,5,5,6,5,6
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,ItemDTORequest,0,21,0,0,0,1,0,4,0,4
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,LoginDTOResponse,0,9,0,0,0,1,0,2,0,2
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,ItemDTOResponse,22,21,0,0,4,1,2,4,2,4
challenge_e-commerce,g.sants.challenge_e_commerce.application.dto,CartDTORequest,0,15,0,0,0,1,0,3,0,3
challenge_e-commerce,g.sants.challenge_e_commerce.application.service,CartService,185,12,14,0,45,5,16,1,9,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.service,TokenService,48,3,0,0,19,1,3,1,3,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.service,StorageService,93,6,2,0,21,3,8,1,7,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.service,UserService,116,6,2,0,28,3,9,1,8,1
challenge_e-commerce,g.sants.challenge_e_commerce.application.service,AuthorizationService,56,6,4,0,11,3,4,1,2,1
challenge_e-commerce,g.sants.challenge_e_commerce.adapter.messages.listener,OrderCreatedListener,15,9,2,0,3,2,3,1,2,1
